aghulas_box_mean,aghulas_box_std,aghulas_box_se,aghulas_jet_mean,aghulas_jet_std,aghulas_jet_se,month
-94.57017413636363,15.439558939994873,3.291725026221576,-101.59952522727272,14.129997762230847,3.012525645010789,1
-91.58475031818182,15.98262504134762,3.40750710805843,-99.91308213636363,15.123256855511732,3.2242891952249977,2
-97.92672472727273,22.372471029367805,4.769826850106357,-103.18474890909091,18.86287231597378,4.021577890290023,3
-87.85975163636364,17.043412514314443,3.6336677571960148,-95.07324218181817,14.503604266100233,3.092178819270857,4
-88.49580595454546,14.059664060580301,2.997530449434951,-96.7448055,12.466898461781938,2.657951682784567,5
-80.4107035909091,12.503184538701595,2.6656879003775726,-94.18926704545456,13.925637444738436,2.9689558789267467,6
-75.26755063636364,13.324999850585135,2.8408995135831527,-85.87906077272727,14.113564027973817,3.0090219610947924,7
-75.39656231818182,14.639800421883853,3.121215937248805,-89.04799359090909,15.336974112533552,3.269853867519606,8
-76.84403999999999,22.34522678615079,4.659301870286684,-89.98989508695651,15.507572169651105,3.2335523244026,9
-83.20839582608696,18.471221915312178,3.8515160145895173,-90.066219,11.40452758229138,2.3780083864192347,10
-85.10631613043479,18.205340476955314,3.7960759022618835,-96.41535352173914,14.57178678879035,3.038427584029243,11
-95.11554247826086,19.092571651651493,3.9810763907868276,-99.06388895652174,14.627449485995223,3.050034058721754,12
