pathway,MCC,MCC_lag,MCC_pval,CCM,CCM_pval,TE,TE_pval,consensus,MCC_str,CCM_str,TE_str
itf_g → aghulas_box,-0.28012259916939136,-18,0.0,0.23676905468135154,0.015,0.18150620751539667,0.544,2,-0.280**,0.237*,0.182
itf_g → aghulas_jet,0.26383519001580374,-1,0.0,0.3022463170265976,0.0,0.18046981004602106,0.714,2,0.264**,0.302**,0.180
itf_t → aghulas_box,0.22296058089736348,0,0.046,0.24100367111615703,0.0,0.16768251098739018,0.91,2,0.223*,0.241**,0.168
itf_s → aghulas_box,0.265025697930304,-12,0.01,0.193352922737923,0.035,0.17288879239347954,0.662,2,0.265*,0.193*,0.173
itf_s → aghulas_jet,-0.27714380730190463,-6,0.002,-0.0007240486246996705,0.805,0.1686853789436808,0.808,1,-0.277**,-0.001,0.169
aghulas_box → amoc,-0.2683948535030753,-18,0.002,-0.07109568712292945,0.725,0.1502675582862027,0.794,1,-0.268**,-0.071,0.150
aghulas_jet → amoc,-0.24653620318012,-19,0.014,-0.003331466689593954,0.98,0.13232622058144242,0.944,1,-0.247*,-0.003,0.132
itf_g → amoc,-0.37364856708882604,15,0.004,0.1981397939444331,0.115,0.18474675778799163,0.516,1,-0.374**,0.198,0.185
itf_t → amoc,-0.30943928415580746,15,0.002,0.22807371871574347,0.185,0.1773289553962136,0.776,1,-0.309**,0.228,0.177
itf_s → amoc,-0.30986465868775287,18,0.008,0.13754086641875915,0.1,0.1797592979758897,0.52,1,-0.310**,0.138,0.180
itf_t → aghulas_jet,0.19313914590910575,-1,0.084,0.17755753988978956,0.07,0.19213669533771957,0.18,0,0.193,0.178,0.192
